Epoch,MAE,RMSE
389,tensor(9.9244),tensor(16.6569)
390,tensor(12.7090),tensor(24.0259)
391,tensor(20.7592),tensor(24.4200)
392,tensor(10.9808),tensor(21.0756)
393,tensor(13.3536),tensor(23.9817)
394,tensor(12.4830),tensor(23.9403)
395,tensor(22.6902),tensor(30.9123)
396,tensor(9.7631),tensor(17.4414)
397,tensor(10.1646),tensor(14.7957)
398,tensor(10.8376),tensor(20.2344)
399,tensor(11.8772),tensor(19.0232)
400,tensor(14.5851),tensor(25.6897)
401,tensor(12.3571),tensor(22.2727)
402,tensor(10.6173),tensor(21.2256)
403,tensor(11.6574),tensor(23.3745)
404,tensor(19.1583),tensor(28.4473)
405,tensor(13.4241),tensor(23.4063)
406,tensor(19.6480),tensor(31.2879)
407,tensor(11.0021),tensor(22.0507)
408,tensor(13.3975),tensor(26.7933)
409,tensor(16.2434),tensor(24.0082)
410,tensor(13.7187),tensor(24.1678)
411,tensor(21.0468),tensor(27.9385)
412,tensor(23.0787),tensor(31.1106)
413,tensor(22.3069),tensor(30.9915)
414,tensor(20.0767),tensor(27.2739)
415,tensor(16.2541),tensor(20.1927)
416,tensor(8.8342),tensor(14.1192)
417,tensor(25.2026),tensor(30.9122)
418,tensor(9.5600),tensor(17.0550)
419,tensor(14.2371),tensor(25.0117)
420,tensor(36.3720),tensor(40.7427)
421,tensor(16.9839),tensor(29.5479)
422,tensor(27.8302),tensor(31.5677)
423,tensor(10.2505),tensor(19.5342)
424,tensor(44.6853),tensor(53.6800)
425,tensor(16.6521),tensor(32.4647)
426,tensor(10.6282),tensor(21.3917)
427,tensor(10.9017),tensor(19.5734)
428,tensor(17.0153),tensor(26.0726)
429,tensor(9.6086),tensor(16.8619)
430,tensor(24.7427),tensor(28.6415)
431,tensor(11.5249),tensor(21.6887)
432,tensor(13.8478),tensor(22.1725)
433,tensor(11.4394),tensor(22.9782)
434,tensor(16.0650),tensor(28.9807)
435,tensor(28.8647),tensor(35.5846)
436,tensor(30.4227),tensor(39.3973)
437,tensor(12.4902),tensor(22.4289)
438,tensor(14.1867),tensor(25.8618)
439,tensor(16.2079),tensor(27.8897)
440,tensor(15.8426),tensor(27.4488)
441,tensor(13.3546),tensor(18.9404)
442,tensor(14.2520),tensor(19.8439)
443,tensor(21.7807),tensor(38.1159)
444,tensor(10.6684),tensor(19.2629)
445,tensor(17.6761),tensor(23.6885)
446,tensor(18.0971),tensor(32.6362)
447,tensor(15.4291),tensor(22.1700)
448,tensor(13.6941),tensor(25.4614)
449,tensor(19.8728),tensor(31.7546)
450,tensor(10.2604),tensor(20.3903)
451,tensor(16.3131),tensor(28.2924)
452,tensor(10.4794),tensor(20.0356)
453,tensor(10.0326),tensor(18.2916)
454,tensor(15.3938),tensor(29.6043)
455,tensor(13.0688),tensor(21.1473)
456,tensor(14.6779),tensor(28.3046)
457,tensor(23.9029),tensor(26.8162)
458,tensor(17.3890),tensor(24.5551)
459,tensor(14.4784),tensor(20.4124)
460,tensor(12.3125),tensor(21.9867)
461,tensor(12.4277),tensor(22.3547)
462,tensor(9.3738),tensor(17.8267)
463,tensor(11.6397),tensor(23.5456)
464,tensor(16.1760),tensor(28.1016)
465,tensor(13.9945),tensor(23.2031)
466,tensor(10.7906),tensor(21.2530)
467,tensor(13.3704),tensor(24.4137)
468,tensor(12.4679),tensor(20.6529)
469,tensor(29.2739),tensor(41.0611)
470,tensor(17.5972),tensor(22.0221)
471,tensor(12.5634),tensor(21.2490)
472,tensor(12.2373),tensor(20.4567)
473,tensor(27.2360),tensor(34.9889)
474,tensor(9.8907),tensor(16.8181)
475,tensor(20.1710),tensor(30.3691)
476,tensor(10.7603),tensor(19.9868)
477,tensor(18.2741),tensor(29.8797)
478,tensor(22.2836),tensor(27.9989)
479,tensor(16.1902),tensor(25.5943)
480,tensor(11.3670),tensor(17.2588)
481,tensor(9.1928),tensor(14.8621)
482,tensor(17.2287),tensor(32.3149)
483,tensor(10.9003),tensor(21.3791)
484,tensor(15.5251),tensor(27.2784)
485,tensor(18.3341),tensor(33.1885)
486,tensor(13.8709),tensor(24.4166)
487,tensor(14.9900),tensor(23.3970)
488,tensor(11.7283),tensor(23.1136)
489,tensor(10.0860),tensor(20.0743)
490,tensor(11.6107),tensor(23.6535)
491,tensor(13.0709),tensor(25.8419)
492,tensor(18.1429),tensor(27.3497)
493,tensor(12.7634),tensor(22.8123)
494,tensor(17.1633),tensor(21.7984)
495,tensor(11.8403),tensor(21.9794)
496,tensor(20.2942),tensor(32.5601)
497,tensor(23.3969),tensor(37.6445)
498,tensor(16.3208),tensor(29.3331)
499,tensor(14.9870),tensor(27.5287)
500,tensor(14.8118),tensor(30.8477)
501,tensor(20.4744),tensor(32.0288)
502,tensor(20.7742),tensor(25.0897)
503,tensor(19.1916),tensor(26.2240)
504,tensor(12.7643),tensor(21.2196)
505,tensor(12.7593),tensor(22.7979)
506,tensor(17.2817),tensor(26.1250)
507,tensor(9.3879),tensor(16.1313)
508,tensor(31.2620),tensor(39.6825)
509,tensor(11.3356),tensor(18.7368)
510,tensor(16.8164),tensor(21.3753)
511,tensor(40.9103),tensor(57.2940)
512,tensor(11.2922),tensor(20.7766)
513,tensor(11.0884),tensor(19.7106)
514,tensor(21.9837),tensor(31.3231)
515,tensor(18.8502),tensor(30.1933)
516,tensor(28.4310),tensor(37.5716)
517,tensor(35.8957),tensor(44.4829)
518,tensor(23.9460),tensor(41.9041)
519,tensor(14.9352),tensor(22.9310)
520,tensor(24.6853),tensor(32.6635)
521,tensor(17.8190),tensor(29.6847)
522,tensor(17.1439),tensor(30.1161)
523,tensor(19.2584),tensor(24.8924)
524,tensor(12.3273),tensor(20.6076)
525,tensor(16.2006),tensor(28.6106)
526,tensor(10.5182),tensor(20.9934)
527,tensor(12.1132),tensor(23.8034)
528,tensor(12.0682),tensor(23.2775)
529,tensor(11.6761),tensor(23.3421)
530,tensor(25.9334),tensor(34.2901)
531,tensor(10.6309),tensor(16.7872)
532,tensor(12.0075),tensor(23.5863)
533,tensor(9.2348),tensor(18.4253)
534,tensor(19.2489),tensor(31.4014)
535,tensor(13.0630),tensor(19.0512)
536,tensor(11.4094),tensor(22.9476)
537,tensor(16.0092),tensor(24.4674)
538,tensor(20.9851),tensor(30.2907)
539,tensor(24.3479),tensor(39.6301)
540,tensor(33.1342),tensor(42.7045)
541,tensor(13.8924),tensor(21.6326)
542,tensor(18.7131),tensor(29.4035)
543,tensor(11.0683),tensor(22.2096)
544,tensor(13.2649),tensor(18.7662)
545,tensor(31.0656),tensor(42.7682)
546,tensor(13.5847),tensor(23.4291)
547,tensor(10.6562),tensor(21.4392)
548,tensor(16.2520),tensor(24.5509)
549,tensor(10.8896),tensor(19.9312)
550,tensor(20.7439),tensor(29.6430)
551,tensor(14.7916),tensor(25.3044)
552,tensor(11.9326),tensor(19.9724)
553,tensor(13.8500),tensor(25.7213)
554,tensor(12.4180),tensor(24.1486)
555,tensor(17.3646),tensor(30.7233)
556,tensor(11.0067),tensor(21.6280)
557,tensor(9.4873),tensor(19.0592)
558,tensor(16.2156),tensor(28.0925)
559,tensor(12.0116),tensor(23.9757)
560,tensor(22.0720),tensor(36.3328)
561,tensor(10.7926),tensor(21.6658)
562,tensor(12.0984),tensor(24.2823)
563,tensor(19.3689),tensor(29.2182)
564,tensor(14.7275),tensor(27.1637)
565,tensor(11.6227),tensor(24.1551)
566,tensor(18.6039),tensor(33.5035)
567,tensor(8.9835),tensor(16.9922)
568,tensor(17.6987),tensor(28.9969)
569,tensor(16.7472),tensor(26.8305)
570,tensor(18.4801),tensor(23.5097)
571,tensor(9.8033),tensor(19.5008)
572,tensor(14.4057),tensor(20.2847)
573,tensor(29.2964),tensor(40.8921)
574,tensor(14.4656),tensor(22.7132)
575,tensor(13.4647),tensor(25.1452)
576,tensor(16.5441),tensor(24.7299)
577,tensor(11.8301),tensor(17.8427)
578,tensor(9.5392),tensor(18.8792)
579,tensor(9.1499),tensor(16.6292)
580,tensor(13.5742),tensor(19.0762)
581,tensor(11.3614),tensor(21.2884)
582,tensor(18.7446),tensor(22.2986)
583,tensor(17.7973),tensor(27.2599)
584,tensor(25.3996),tensor(33.1821)
585,tensor(9.7532),tensor(19.2194)
586,tensor(12.0958),tensor(23.7931)
587,tensor(21.6048),tensor(29.9814)
588,tensor(19.1156),tensor(31.6848)
589,tensor(17.7716),tensor(22.8717)
590,tensor(40.0498),tensor(42.0758)
591,tensor(14.4627),tensor(24.6366)
592,tensor(32.1078),tensor(39.1851)
593,tensor(12.5404),tensor(24.6002)
594,tensor(14.6113),tensor(28.5957)
595,tensor(10.4285),tensor(17.6605)
596,tensor(23.8299),tensor(36.1768)
597,tensor(12.4894),tensor(21.2792)
598,tensor(17.0928),tensor(30.2698)
599,tensor(16.6885),tensor(29.7752)
600,tensor(10.8188),tensor(21.3520)
601,tensor(10.4642),tensor(19.8057)
602,tensor(18.7013),tensor(24.2199)
603,tensor(13.1465),tensor(18.6810)
604,tensor(12.6249),tensor(24.5887)
605,tensor(20.1565),tensor(29.1973)
606,tensor(12.3889),tensor(22.5438)
607,tensor(14.8239),tensor(26.5940)
608,tensor(16.2228),tensor(24.1614)
609,tensor(11.4574),tensor(22.0457)
610,tensor(15.4817),tensor(23.3520)
611,tensor(11.6931),tensor(21.8599)
612,tensor(10.0004),tensor(20.3258)
613,tensor(13.2974),tensor(21.5190)
614,tensor(16.3654),tensor(24.9223)
615,tensor(17.0540),tensor(23.1632)
616,tensor(17.7813),tensor(24.0814)
617,tensor(10.3626),tensor(19.5138)
618,tensor(16.2802),tensor(20.3867)
619,tensor(9.7316),tensor(15.9808)
620,tensor(12.5957),tensor(20.0584)
621,tensor(11.0781),tensor(19.2780)
622,tensor(11.0341),tensor(19.9833)
623,tensor(10.8551),tensor(22.1822)
624,tensor(30.3390),tensor(41.0476)
625,tensor(10.5679),tensor(18.6544)
626,tensor(17.1773),tensor(21.4577)
627,tensor(37.0327),tensor(41.9407)
628,tensor(10.6472),tensor(16.8591)
629,tensor(18.4348),tensor(25.3267)
630,tensor(9.8652),tensor(16.3269)
631,tensor(12.5637),tensor(24.1049)
632,tensor(11.3093),tensor(22.2045)
633,tensor(24.0365),tensor(34.9872)
634,tensor(11.4153),tensor(21.3890)
635,tensor(12.6875),tensor(24.4947)
636,tensor(11.5928),tensor(19.8365)
637,tensor(12.4543),tensor(22.7822)
638,tensor(26.1486),tensor(37.0140)
639,tensor(20.4359),tensor(34.8681)
640,tensor(13.7920),tensor(19.7843)
641,tensor(17.4573),tensor(30.2384)
642,tensor(10.4791),tensor(18.1710)
643,tensor(11.7669),tensor(19.3463)
644,tensor(9.9422),tensor(16.7826)
645,tensor(19.2307),tensor(28.4586)
646,tensor(10.0189),tensor(18.7403)
647,tensor(18.6017),tensor(26.3927)
648,tensor(12.9006),tensor(26.1837)
649,tensor(11.1152),tensor(22.2513)
650,tensor(17.0304),tensor(30.7384)
651,tensor(10.7794),tensor(20.0050)
652,tensor(23.5633),tensor(36.3070)
653,tensor(10.5162),tensor(20.1540)
654,tensor(10.2683),tensor(20.5383)
655,tensor(10.0349),tensor(16.4731)
656,tensor(29.4455),tensor(39.8678)
657,tensor(23.2334),tensor(35.3484)
658,tensor(13.9748),tensor(22.4341)
659,tensor(11.7214),tensor(24.0227)
660,tensor(15.7075),tensor(27.7969)
661,tensor(10.4705),tensor(20.9537)
662,tensor(20.0708),tensor(33.2774)
