Epoch,MAE,RMSE
221,"tensor(9.1347, dtype=torch.float64)","tensor(13.9674, dtype=torch.float64)"
222,"tensor(12.1988, dtype=torch.float64)","tensor(17.0508, dtype=torch.float64)"
223,"tensor(17.2580, dtype=torch.float64)","tensor(20.9831, dtype=torch.float64)"
224,"tensor(8.5713, dtype=torch.float64)","tensor(13.0247, dtype=torch.float64)"
225,"tensor(9.5530, dtype=torch.float64)","tensor(13.9456, dtype=torch.float64)"
226,"tensor(10.4173, dtype=torch.float64)","tensor(17.6745, dtype=torch.float64)"
227,"tensor(16.8869, dtype=torch.float64)","tensor(26.2514, dtype=torch.float64)"
228,"tensor(10.9364, dtype=torch.float64)","tensor(19.9677, dtype=torch.float64)"
229,"tensor(22.0561, dtype=torch.float64)","tensor(24.9673, dtype=torch.float64)"
230,"tensor(20.1728, dtype=torch.float64)","tensor(32.8125, dtype=torch.float64)"
231,"tensor(10.2817, dtype=torch.float64)","tensor(16.8959, dtype=torch.float64)"
232,"tensor(12.7533, dtype=torch.float64)","tensor(15.9757, dtype=torch.float64)"
233,"tensor(10.7747, dtype=torch.float64)","tensor(16.7903, dtype=torch.float64)"
234,"tensor(12.2776, dtype=torch.float64)","tensor(19.5337, dtype=torch.float64)"
235,"tensor(31.8937, dtype=torch.float64)","tensor(40.4878, dtype=torch.float64)"
236,"tensor(13.0875, dtype=torch.float64)","tensor(24.1480, dtype=torch.float64)"
237,"tensor(9.6802, dtype=torch.float64)","tensor(15.7768, dtype=torch.float64)"
238,"tensor(37.6621, dtype=torch.float64)","tensor(41.1690, dtype=torch.float64)"
239,"tensor(10.6819, dtype=torch.float64)","tensor(18.6703, dtype=torch.float64)"
240,"tensor(25.7196, dtype=torch.float64)","tensor(31.7454, dtype=torch.float64)"
241,"tensor(12.6209, dtype=torch.float64)","tensor(21.4509, dtype=torch.float64)"
242,"tensor(12.6259, dtype=torch.float64)","tensor(17.3113, dtype=torch.float64)"
243,"tensor(17.9858, dtype=torch.float64)","tensor(25.6929, dtype=torch.float64)"
244,"tensor(9.7226, dtype=torch.float64)","tensor(16.0142, dtype=torch.float64)"
245,"tensor(8.7830, dtype=torch.float64)","tensor(14.6307, dtype=torch.float64)"
246,"tensor(15.6674, dtype=torch.float64)","tensor(29.6800, dtype=torch.float64)"
247,"tensor(13.9828, dtype=torch.float64)","tensor(21.6059, dtype=torch.float64)"
248,"tensor(32.8305, dtype=torch.float64)","tensor(38.8515, dtype=torch.float64)"
249,"tensor(16.2824, dtype=torch.float64)","tensor(22.7054, dtype=torch.float64)"
250,"tensor(10.8936, dtype=torch.float64)","tensor(19.8472, dtype=torch.float64)"
251,"tensor(16.2693, dtype=torch.float64)","tensor(23.0044, dtype=torch.float64)"
252,"tensor(32.4741, dtype=torch.float64)","tensor(35.9588, dtype=torch.float64)"
253,"tensor(24.9280, dtype=torch.float64)","tensor(34.1826, dtype=torch.float64)"
254,"tensor(23.8001, dtype=torch.float64)","tensor(28.0330, dtype=torch.float64)"
255,"tensor(11.3021, dtype=torch.float64)","tensor(20.0687, dtype=torch.float64)"
256,"tensor(12.6913, dtype=torch.float64)","tensor(24.1224, dtype=torch.float64)"
257,"tensor(18.2298, dtype=torch.float64)","tensor(24.4558, dtype=torch.float64)"
258,"tensor(11.6239, dtype=torch.float64)","tensor(22.4743, dtype=torch.float64)"
259,"tensor(13.1330, dtype=torch.float64)","tensor(16.3667, dtype=torch.float64)"
260,"tensor(17.1811, dtype=torch.float64)","tensor(30.2112, dtype=torch.float64)"
261,"tensor(16.9699, dtype=torch.float64)","tensor(25.7470, dtype=torch.float64)"
262,"tensor(12.7738, dtype=torch.float64)","tensor(22.1720, dtype=torch.float64)"
263,"tensor(13.7854, dtype=torch.float64)","tensor(23.0385, dtype=torch.float64)"
264,"tensor(10.7397, dtype=torch.float64)","tensor(20.0743, dtype=torch.float64)"
265,"tensor(27.7791, dtype=torch.float64)","tensor(43.6760, dtype=torch.float64)"
266,"tensor(19.6338, dtype=torch.float64)","tensor(28.6647, dtype=torch.float64)"
267,"tensor(21.3100, dtype=torch.float64)","tensor(27.4647, dtype=torch.float64)"
268,"tensor(9.8956, dtype=torch.float64)","tensor(17.6570, dtype=torch.float64)"
269,"tensor(10.9397, dtype=torch.float64)","tensor(17.1217, dtype=torch.float64)"
270,"tensor(22.9993, dtype=torch.float64)","tensor(28.0388, dtype=torch.float64)"
271,"tensor(17.6095, dtype=torch.float64)","tensor(24.0935, dtype=torch.float64)"
272,"tensor(36.6892, dtype=torch.float64)","tensor(44.8759, dtype=torch.float64)"
273,"tensor(15.7092, dtype=torch.float64)","tensor(30.0946, dtype=torch.float64)"
274,"tensor(11.2820, dtype=torch.float64)","tensor(21.9734, dtype=torch.float64)"
275,"tensor(12.4082, dtype=torch.float64)","tensor(17.1433, dtype=torch.float64)"
276,"tensor(9.1329, dtype=torch.float64)","tensor(13.7474, dtype=torch.float64)"
277,"tensor(10.0560, dtype=torch.float64)","tensor(14.5542, dtype=torch.float64)"
278,"tensor(13.0139, dtype=torch.float64)","tensor(20.2938, dtype=torch.float64)"
279,"tensor(11.7233, dtype=torch.float64)","tensor(19.0086, dtype=torch.float64)"
280,"tensor(39.1042, dtype=torch.float64)","tensor(42.6788, dtype=torch.float64)"
281,"tensor(45.7728, dtype=torch.float64)","tensor(59.6533, dtype=torch.float64)"
282,"tensor(20.4386, dtype=torch.float64)","tensor(34.1319, dtype=torch.float64)"
283,"tensor(8.6089, dtype=torch.float64)","tensor(13.3050, dtype=torch.float64)"
284,"tensor(11.6569, dtype=torch.float64)","tensor(20.3577, dtype=torch.float64)"
285,"tensor(14.1885, dtype=torch.float64)","tensor(17.7156, dtype=torch.float64)"
286,"tensor(12.3476, dtype=torch.float64)","tensor(19.6706, dtype=torch.float64)"
287,"tensor(14.8601, dtype=torch.float64)","tensor(27.3915, dtype=torch.float64)"
288,"tensor(15.8496, dtype=torch.float64)","tensor(19.6925, dtype=torch.float64)"
289,"tensor(18.4737, dtype=torch.float64)","tensor(29.2963, dtype=torch.float64)"
290,"tensor(12.9142, dtype=torch.float64)","tensor(19.6070, dtype=torch.float64)"
291,"tensor(10.5192, dtype=torch.float64)","tensor(15.7751, dtype=torch.float64)"
292,"tensor(9.5027, dtype=torch.float64)","tensor(13.8750, dtype=torch.float64)"
293,"tensor(21.5957, dtype=torch.float64)","tensor(23.9955, dtype=torch.float64)"
294,"tensor(11.5932, dtype=torch.float64)","tensor(21.1189, dtype=torch.float64)"
295,"tensor(10.7954, dtype=torch.float64)","tensor(17.7772, dtype=torch.float64)"
296,"tensor(10.8484, dtype=torch.float64)","tensor(17.0172, dtype=torch.float64)"
297,"tensor(18.6101, dtype=torch.float64)","tensor(28.7939, dtype=torch.float64)"
298,"tensor(11.3718, dtype=torch.float64)","tensor(17.4437, dtype=torch.float64)"
299,"tensor(15.6790, dtype=torch.float64)","tensor(19.6716, dtype=torch.float64)"
300,"tensor(13.5859, dtype=torch.float64)","tensor(25.9743, dtype=torch.float64)"
301,"tensor(15.0392, dtype=torch.float64)","tensor(20.9508, dtype=torch.float64)"
302,"tensor(17.9717, dtype=torch.float64)","tensor(26.8213, dtype=torch.float64)"
303,"tensor(16.3138, dtype=torch.float64)","tensor(19.7531, dtype=torch.float64)"
304,"tensor(9.7121, dtype=torch.float64)","tensor(14.4555, dtype=torch.float64)"
305,"tensor(19.8012, dtype=torch.float64)","tensor(22.3758, dtype=torch.float64)"
306,"tensor(28.1183, dtype=torch.float64)","tensor(38.8661, dtype=torch.float64)"
307,"tensor(11.6798, dtype=torch.float64)","tensor(17.2788, dtype=torch.float64)"
308,"tensor(14.1376, dtype=torch.float64)","tensor(17.5416, dtype=torch.float64)"
309,"tensor(18.8622, dtype=torch.float64)","tensor(27.0480, dtype=torch.float64)"
310,"tensor(11.6433, dtype=torch.float64)","tensor(17.9015, dtype=torch.float64)"
311,"tensor(10.8727, dtype=torch.float64)","tensor(16.5697, dtype=torch.float64)"
312,"tensor(29.9202, dtype=torch.float64)","tensor(35.7029, dtype=torch.float64)"
313,"tensor(12.3402, dtype=torch.float64)","tensor(19.0131, dtype=torch.float64)"
314,"tensor(45.6982, dtype=torch.float64)","tensor(53.2383, dtype=torch.float64)"
315,"tensor(9.5922, dtype=torch.float64)","tensor(16.4005, dtype=torch.float64)"
